win_id,archetype,roi_id,rater,method,n_manual,n_obj,n_obj_unkept,n_obj_in_excl,tp,tp_points,recall,precision,ghost_frac,density_obj_net,median_cost_um,frac_inside_mask
A6_w4,A6,r5,model:deepseek_flash_nothink,cellpose_rgb,68,58,0,0,6,6,0.08823529411764706,0.10344827586206896,0.896551724137931,928.0754705767397,0.0,0.6666666666666666
A6_w4,A6,r5,model:deepseek_flash_nothink,stardist_he,68,55,0,0,7,7,0.10294117647058823,0.12727272727272726,0.8727272727272728,880.0715669262187,0.0,0.7142857142857143
A6_w4,A6,r5,model:deepseek_flash_nothink,spaceranger,68,70,0,0,10,10,0.14705882352941177,0.14285714285714285,0.8571428571428572,1120.0910851788237,0.0,0.9
A1_w1,A1,r1,model:deepseek_flash_think,cellpose_rgb,195,154,2,0,80,80,0.41025641025641024,0.5194805194805194,0.48051948051948057,15423.785864831285,0.0,0.6
A1_w1,A1,r1,model:deepseek_flash_think,stardist_he,195,86,0,0,39,39,0.2,0.45348837209302323,0.5465116279069768,8613.283015425262,0.0,0.5897435897435898
A1_w2,A1,r2,model:deepseek_flash_think,cellpose_rgb,110,92,0,0,24,24,0.21818181818181817,0.2608695652173913,0.7391304347826086,9214.209737431676,0.78736574340853,0.5
A1_w2,A1,r2,model:deepseek_flash_think,stardist_he,110,38,0,0,10,10,0.09090909090909091,0.2631578947368421,0.736842105263158,3805.8692393739534,0.0,0.6
A1_w3,A1,r3,model:deepseek_flash_think,cellpose_rgb,230,147,5,0,86,87,0.3782608695652174,0.5850340136054422,0.41496598639455784,14722.704689157135,0.0,0.6436781609195402
A1_w3,A1,r3,model:deepseek_flash_think,stardist_he,230,64,0,0,44,44,0.19130434782608696,0.6875,0.3125,6409.885034735079,0.0,0.6363636363636364
A1_w4,A1,r4,model:deepseek_flash_think,cellpose_rgb,162,99,1,0,31,31,0.19135802469135801,0.31313131313131315,0.6868686868686869,9915.290913105826,0.0,0.6129032258064516
A1_w4,A1,r4,model:deepseek_flash_think,stardist_he,162,38,0,0,13,13,0.08024691358024691,0.34210526315789475,0.6578947368421053,3805.8692393739534,0.0,0.6923076923076923
A2_w1,A2,r2,model:deepseek_flash_think,cellpose_rgb,139,115,0,0,40,40,0.28776978417266186,0.34782608695652173,0.6521739130434783,8001.954001146961,0.0,0.775
A2_w1,A2,r2,model:deepseek_flash_think,stardist_he,139,31,0,0,12,12,0.08633093525179857,0.3870967741935484,0.6129032258064516,2157.048469874398,0.0,0.8333333333333334
A2_w1,A2,r2,model:deepseek_flash_think,spaceranger,139,86,0,0,24,24,0.17266187050359713,0.27906976744186046,0.7209302325581395,5984.069948683814,0.0,0.9583333333333334
A2_w2,A2,r3,model:deepseek_flash_think,cellpose_rgb,200,129,1,0,74,79,0.395,0.5736434108527132,0.4263565891472868,8976.104923025721,0.0,0.810126582278481
A2_w2,A2,r3,model:deepseek_flash_think,stardist_he,200,88,0,0,48,50,0.25,0.5454545454545454,0.4545454545454546,6123.2343660950655,0.0,0.8
A2_w2,A2,r3,model:deepseek_flash_think,spaceranger,200,139,0,0,86,87,0.435,0.6187050359712231,0.38129496402877694,9671.927010081978,0.0,0.8505747126436781
A2_w3,A2,r4,model:deepseek_flash_think,cellpose_rgb,100,99,0,0,42,42,0.42,0.42424242424242425,0.5757575757575757,6888.638661856949,0.0,0.9285714285714286
A2_w3,A2,r4,model:deepseek_flash_think,stardist_he,100,49,0,0,18,18,0.18,0.3673469387755102,0.6326530612244898,3409.5282265756614,0.0,0.9444444444444444
A2_w3,A2,r4,model:deepseek_flash_think,spaceranger,100,116,0,0,40,40,0.4,0.3448275862068966,0.6551724137931034,8071.536209852587,0.0,0.95
