win_id,archetype,rater,method,n_points,n_obj,tp_obs,f1_obs,precision_obs,tp_null_mean,f1_null_mean,f1_null_sd,precision_null_mean,f1_gain
A4_w1,A4,model:gpt6_astra,spaceranger,80,76,66,0.8461538461538461,0.868421052631579,35.7,0.45769230769230773,0.04076439255278114,0.4697368421052632,0.3884615384615384
A4_w2,A4,Luca,cellpose_rgb,118,100,98,0.8990825688073395,0.98,56.2,0.5155963302752293,0.028953640069833943,0.562,0.38348623853211017
A4_w2,A4,Luca,stardist_he,118,96,95,0.8878504672897196,0.9895833333333334,56.9,0.5317757009345794,0.029686691914520724,0.5927083333333333,0.35607476635514024
A4_w2,A4,Luca,spaceranger,118,119,109,0.919831223628692,0.9159663865546218,68.75,0.5801687763713079,0.03395248299458036,0.5777310924369747,0.33966244725738404
A4_w2,A4,model:deepseek_flash_nothink,cellpose_rgb,184,100,97,0.6830985915492958,0.97,73.5,0.5176056338028169,0.017605633802816902,0.735,0.16549295774647887
A4_w2,A4,model:deepseek_flash_nothink,stardist_he,184,96,94,0.6714285714285714,0.9791666666666666,71.4,0.5100000000000001,0.020000000000000007,0.74375,0.16142857142857125
A4_w2,A4,model:deepseek_flash_nothink,spaceranger,184,119,116,0.7656765676567657,0.9747899159663865,89.45,0.5904290429042904,0.02420517036080383,0.7516806722689076,0.1752475247524753
A4_w2,A4,model:deepseek_flash_think,cellpose_rgb,253,100,98,0.5552407932011332,0.98,83.85,0.47507082152974506,0.01847016805972015,0.8384999999999999,0.08016997167138812
A4_w2,A4,model:deepseek_flash_think,stardist_he,253,96,94,0.5386819484240688,0.9791666666666666,80.8,0.4630372492836677,0.015440909553361002,0.8416666666666667,0.07564469914040112
A4_w2,A4,model:deepseek_flash_think,spaceranger,253,119,116,0.6236559139784946,0.9747899159663865,100.65,0.5411290322580646,0.015514735516675359,0.8457983193277311,0.08252688172042999
A4_w2,A4,model:gpt6_astra,cellpose_rgb,123,100,95,0.852017937219731,0.95,59.3,0.5318385650224215,0.02989387141255419,0.593,0.3201793721973094
A4_w2,A4,model:gpt6_astra,stardist_he,123,96,91,0.8310502283105022,0.9479166666666666,57.3,0.5232876712328767,0.030026086251641267,0.5968749999999999,0.30776255707762556
A4_w2,A4,model:gpt6_astra,spaceranger,123,119,105,0.8677685950413223,0.8823529411764706,69.4,0.5735537190082644,0.034015067152490384,0.5831932773109244,0.29421487603305796
A4_w3,A4,Luca,cellpose_rgb,108,98,95,0.9223300970873787,0.9693877551020408,52.95,0.5140776699029127,0.03741014937268148,0.5403061224489796,0.40825242718446597
A4_w3,A4,Luca,stardist_he,108,86,86,0.8865979381443299,1.0,47.25,0.4871134020618557,0.027638673440112393,0.5494186046511628,0.39948453608247414
